,Student,Attendance - Final Exam Rebuttal 67% or more (7914860),Attendance (7965941),Prerequisite / Financial Aid Quiz (7914812),EC: W02-Video-Content-Quiz-Spring-2023 (7914857),EC: W03-Video-Content-Quiz-Spring-2023 (7914771),EC: W04-Video-Content-Quiz-Spring-2023 (7914852),EC: W05-Video-Content-Quiz-Spring-2023 (7914851),EC: W06-Video-Content-Quiz-Spring-2023 (7914760),EC Total to Ex1 (7914871),EC: W07-Video-Content-Quiz-Spring-2023 (7914849),EC: W09-Video-Content-Quiz (7914855),EC: W11-Video-Content-Quiz-Spring-2023 (7914772),EC: W12-Video-Content-Quiz-Spring-2023 (7914759),EC Total to Ex2 (7914872),EC: W13-Video-Content-Quiz-Spring-2023 (7914757),EC: W08-Video-Content-Quiz-Spring-2023 (7914821),EC Total to Final (7914873),FYI - not an assignment: Intel Overclocking video (7914875),Quiz 3 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914754),Final Exam-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914775),EC: W14-Video-Content-Quiz-Spring-2023 (7970796),EC: W15-Video-Content-Quiz-Spring-2023 (7978678),Midterm Exam 1 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914847),Midterm Exam 2-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914795),EC-Bonus-Project (7914868),Attendance - Quiz 1 rebuttal (7940848),Attendance - Midterm 1 rebuttal (7914861),Attendance - Quiz 2 rebuttal (7914863),Attendance - Midterm 2 Rebuttal (7914862),Attendance - Quiz 3 Rebuttal (7974489),Midterm Exam 1 + EC (7914876),Midterm Exam 2 + EC (7914877),Final-s+Video-EC+Lab-EC (7914874),Quiz 1- Requires Respondus LockDown Browser (7914782),Quiz 2 - Requires Respondus LockDown Browser (7934760),Quiz 3 with Curve (7914884),Project #1 Score (7914880),Collaborative Activity #1 Score (7914864),Project #2 Score (7914881),Collaborative Activity #2 Score (7914865),Project 3 (7914882),Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Component Scores (instead weighted in corresponding category after EC added) Current Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Current Score,Component Scores (instead weighted in corresponding category after EC added) Final Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Final Score,(Midterm Exam 1)+EC Category Current Score,(Midterm Exam 1)+EC Category Unposted Current Score,(Midterm Exam 1)+EC Category Final Score,(Midterm Exam 1)+EC Category Unposted Final Score,(Midterm Exam 2)+EC Category Current Score,(Midterm Exam 2)+EC Category Unposted Current Score,(Midterm Exam 2)+EC Category Final Score,(Midterm Exam 2)+EC Category Unposted Final Score,(Final Exam)+EC Category Current Score,(Final Exam)+EC Category Unposted Current Score,(Final Exam)+EC Category Final Score,(Final Exam)+EC Category Unposted Final Score,Quiz1-Category Current Score,Quiz1-Category Unposted Current Score,Quiz1-Category Final Score,Quiz1-Category Unposted Final Score,Quiz2-Category Current Score,Quiz2-Category Unposted Current Score,Quiz2-Category Final Score,Quiz2-Category Unposted Final Score,Quiz3-Category Current Score,Quiz3-Category Unposted Current Score,Quiz3-Category Final Score,Quiz3-Category Unposted Final Score,Project 1 Materials Overall Category Current Score,Project 1 Materials Overall Category Unposted Current Score,Project 1 Materials Overall Category Final Score,Project 1 Materials Overall Category Unposted Final Score,Project 1 Collaborative Category Current Score,Project 1 Collaborative Category Unposted Current Score,Project 1 Collaborative Category Final Score,Project 1 Collaborative Category Unposted Final Score,Project 2 Materials Overall Category Current Score,Project 2 Materials Overall Category Unposted Current Score,Project 2 Materials Overall Category Final Score,Project 2 Materials Overall Category Unposted Final Score,Project 2 Collaborative Activity Category Current Score,Project 2 Collaborative Activity Category Unposted Current Score,Project 2 Collaborative Activity Category Final Score,Project 2 Collaborative Activity Category Unposted Final Score,Project 3 Materials Overall Category Current Score,Project 3 Materials Overall Category Unposted Current Score,Project 3 Materials Overall Category Final Score,Project 3 Materials Overall Category Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
106,105,16.67,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,18.4,52.67,0,0,75,57.67,0,50,33.33,0,0,0,84,66.67,52.67,22.17,21.5,21.4,88.4,100,49.71,87.5,94.6,35,35,35,35,30.42,30.42,30.42,30.42,84,84,84,84,66.67,66.67,66.67,66.67,52.67,52.67,52.67,52.67,88.67,88.67,88.67,88.67,86,86,86,86,85.6,85.6,85.6,85.6,88.4,88.4,88.4,88.4,100,100,100,100,49.71,49.71,49.71,49.71,87.5,87.5,87.5,87.5,94.6,94.6,94.6,94.6,73.72,73.72,73.72,73.72
107,106,80,100,5,0.5,1,0,0,1,2.5,0,0.5,0,0,2.5,1,2,13,,18,45.67,1,1,55,57.73,10,100,100,50,50,100,65.5,69.23,66.67,14.67,18,21,87.96,62.5,89.16,62.5,98.6,55,55,55,55,73.62,73.62,73.62,73.62,65.5,65.5,65.5,65.5,69.23,69.23,69.23,69.23,66.67,66.67,66.67,66.67,58.68,58.68,58.68,58.68,72,72,72,72,84,84,84,84,87.96,87.96,87.96,87.96,62.5,62.5,62.5,62.5,89.16,89.16,89.16,89.16,62.5,62.5,62.5,62.5,98.6,98.6,98.6,98.6,72.81,72.81,72.81,72.81
108,107,100,100,4,1,0,1,0,1,3,1,1,1,1,5,1,2,14,,22,48.58,1,1,79.17,59.4,10,100,100,100,100,100,90.17,73.4,62.58,23.67,24.5,25,97.94,150,95.41,237.5,100.6,70,70,70,70,91.35,91.35,91.35,91.35,90.17,90.17,90.17,90.17,73.4,73.4,73.4,73.4,62.58,62.58,62.58,62.58,94.68,94.68,94.68,94.68,98,98,98,98,100,100,100,100,97.94,97.94,97.94,97.94,150,150,150,150,95.41,95.41,95.41,95.41,237.5,237.5,237.5,237.5,100.6,100.6,100.6,100.6,88.19,88.19,88.19,88.19
109,108,75,100,6,0,1,1,0,0,2,0,0,1,0,1,1,0,11,,17.07,64.5,1,1,81,72.87,8,75,100,50,50,100,91,82.87,75.5,20.17,14.5,20.07,92.01,100,96.32,137.5,96.1,50,50,50,50,75.62,75.62,75.62,75.62,91,91,91,91,82.87,82.87,82.87,82.87,75.5,75.5,75.5,75.5,80.67,80.67,80.67,80.67,58,58,58,58,80.28,80.28,80.28,80.28,92.01,92.01,92.01,92.01,100,100,100,100,96.32,96.32,96.32,96.32,137.5,137.5,137.5,137.5,96.1,96.1,96.1,96.1,85.48,85.48,85.48,85.48
110,109,90,100,6,1,1,1,0,1,4,1,0,1,0,4,0,2,12,,25,91.67,1,1,95,90.6,10,100,100,100,50,100,107,103.6,103.67,18.83,26,28,96.9,137.5,100.05,112.5,98.6,70,70,70,70,90.93,90.93,90.93,90.93,107,107,107,107,103.6,103.6,103.6,103.6,103.67,103.67,103.67,103.67,75.32,75.32,75.32,75.32,104,104,104,104,112,112,112,112,96.9,96.9,96.9,96.9,137.5,137.5,137.5,137.5,100.05,100.05,100.05,100.05,112.5,112.5,112.5,112.5,98.6,98.6,98.6,98.6,103.11,103.11,103.11,103.11
111,110,61.39,77.78,4,0,0,0,0,0,0,0,0,0,0,0,1,0,11,,9.07,47.58,0,0,42.67,31.07,10,62.5,66.67,100,0,75,50.67,40.07,58.58,11.83,22,12.07,95.42,200,90.22,125,100.6,25,25,25,25,54.63,54.63,54.63,54.63,50.67,50.67,50.67,50.67,40.07,40.07,40.07,40.07,58.58,58.58,58.58,58.58,47.33,47.33,47.33,47.33,88,88,88,88,48.28,48.28,48.28,48.28,95.42,95.42,95.42,95.42,200,200,200,200,90.22,90.22,90.22,90.22,125,125,125,125,100.6,100.6,100.6,100.6,65.58,65.58,65.58,65.58
112,111,67.56,77.78,5.33,0,1,0,0,0,1,0,0,0,0,0,1,0,11,,8.33,47.17,0,0,18.33,61.8,10,50,0,100,75,75,27.33,70.8,58.17,6.5,8.5,11.33,79.56,87.5,78.05,75,97.4,36.67,36.67,36.67,36.67,54.95,54.95,54.95,54.95,27.33,27.33,27.33,27.33,70.8,70.8,70.8,70.8,58.17,58.17,58.17,58.17,26,26,26,26,34,34,34,34,45.32,45.32,45.32,45.32,79.56,79.56,79.56,79.56,87.5,87.5,87.5,87.5,78.05,78.05,78.05,78.05,75,75,75,75,97.4,97.4,97.4,97.4,57.63,57.63,57.63,57.63
113,112,90,100,5,0,1,0,1,0,2,0,0.25,1,0,1.25,0,0,12,,13.07,57.25,1,1,58.67,53.17,10,100,100,75,75,100,78.67,72.42,69.25,18.67,19.5,18.07,79.81,125,86.98,137.5,92.6,41.25,41.25,41.25,41.25,80.54,80.54,80.54,80.54,78.67,78.67,78.67,78.67,72.42,72.42,72.42,72.42,69.25,69.25,69.25,69.25,74.68,74.68,74.68,74.68,78,78,78,78,72.28,72.28,72.28,72.28,79.81,79.81,79.81,79.81,125,125,125,125,86.98,86.98,86.98,86.98,137.5,137.5,137.5,137.5,92.6,92.6,92.6,92.6,78.72,78.72,78.72,78.72
114,113,95,100,7,0.5,1,1,1,1,5.5,0,1.8,1,1,3.8,1,1,14,,25,88,1,1,94.33,88,10,100,100,100,75,100,107.83,100.8,102,23,27,28,98.1,150,96.4,100,98.6,86.5,86.5,86.5,86.5,93.99,93.99,93.99,93.99,107.83,107.83,107.83,107.83,100.8,100.8,100.8,100.8,102,102,102,102,92,92,92,92,108,108,108,108,112,112,112,112,98.1,98.1,98.1,98.1,150,150,150,150,96.4,96.4,96.4,96.4,100,100,100,100,98.6,98.6,98.6,98.6,103.24,103.24,103.24,103.24
115,114,100,100,6,0.5,1,1,0.5,0,3,0,0.25,1,1,3.25,1,2,14,,17.67,71.48,1,1,75.84,58.13,10,100,100,100,100,100,86.83,73.38,85.48,24.5,21.5,20.67,90.41,62.5,86.02,75,93.5,71.25,71.25,71.25,71.25,90.7,90.7,90.7,90.7,86.83,86.83,86.83,86.83,73.38,73.38,73.38,73.38,85.48,85.48,85.48,85.48,98,98,98,98,86,86,86,86,82.68,82.68,82.68,82.68,90.41,90.41,90.41,90.41,62.5,62.5,62.5,62.5,86.02,86.02,86.02,86.02,75,75,75,75,93.5,93.5,93.5,93.5,84.12,84.12,84.12,84.12
116,115,87.78,88.89,5,0,0,0,0,1,1,0,1,0,0,3,0,2,11,,21,65.5,1,0,76,63.66,10,100,100,100,50,100,85,75.66,76.5,19.33,19.5,24,95.92,100,96.05,100,100.6,45,45,45,45,84.46,84.46,84.46,84.46,85,85,85,85,75.66,75.66,75.66,75.66,76.5,76.5,76.5,76.5,77.33,77.33,77.33,77.33,78,78,78,78,96,96,96,96,95.92,95.92,95.92,95.92,100,100,100,100,96.05,96.05,96.05,96.05,100,100,100,100,100.6,100.6,100.6,100.6,84.48,84.48,84.48,84.48
117,116,83.33,66.67,6,0,0,1,0.5,0,1.5,0,0,0,0,1,0,1,11,,18.8,47,0,1,91.33,75.93,10,100,100,100,50,50,100.83,85.93,58,21.17,19.5,21.8,93.94,100,92,87.5,91.6,42.5,42.5,42.5,42.5,81.31,81.31,81.31,81.31,100.83,100.83,100.83,100.83,85.93,85.93,85.93,85.93,58,58,58,58,84.68,84.68,84.68,84.68,78,78,78,78,87.2,87.2,87.2,87.2,93.94,93.94,93.94,93.94,100,100,100,100,92,92,92,92,87.5,87.5,87.5,87.5,91.6,91.6,91.6,91.6,84.62,84.62,84.62,84.62
118,117,78.89,88.89,5,1,1,0,0,0,2,0,0,1,0,3,0,2,0,,11.67,16.17,0,0,49.67,71.33,0,50,66.67,100,100,100,71.67,83.33,16.17,11.83,12,14.67,91.5,100,85.78,237.5,98.6,50,50,50,50,75.73,75.73,75.73,75.73,71.67,71.67,71.67,71.67,83.33,83.33,83.33,83.33,16.17,16.17,16.17,16.17,47.33,47.33,47.33,47.33,48,48,48,48,58.68,58.68,58.68,58.68,91.5,91.5,91.5,91.5,100,100,100,100,85.78,85.78,85.78,85.78,237.5,237.5,237.5,237.5,98.6,98.6,98.6,98.6,68,68,68,68
119,118,57.5,0,4.67,0.5,0,1,0,0,1.5,0,1,0,0,2,0,1,0,,0,0,0,0,46.87,0,0,87.5,100,50,50,0,56.37,0,0,10.5,14.5,0,78.01,150,88.36,125,0,40.83,40.83,40.83,40.83,47.09,47.09,47.09,47.09,56.37,56.37,56.37,56.37,0,0,0,0,0,0,0,0,42,42,42,42,58,58,58,58,0,0,0,0,78.01,78.01,78.01,78.01,150,150,150,150,88.36,88.36,88.36,88.36,125,125,125,125,0,0,0,0,33.42,33.42,33.42,33.42
120,119,21.11,55.56,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,23,77.83,0,0,76.67,88,10,16.67,33.33,0,0,50,84.67,97,87.83,14.67,25,26,97.7,62.5,94.14,75,100.6,35,35,35,35,38.69,38.69,38.69,38.69,84.67,84.67,84.67,84.67,97,97,97,97,87.83,87.83,87.83,87.83,58.67,58.67,58.67,58.67,100,100,100,100,104,104,104,104,97.7,97.7,97.7,97.7,62.5,62.5,62.5,62.5,94.14,94.14,94.14,94.14,75,75,75,75,100.6,100.6,100.6,100.6,90.25,90.25,90.25,90.25
121,120,95,100,6.67,0,1,1,0,0,2,1,1,0,0,4,0,2,12,,16,74.17,1,1,70.73,73,10,75,100,100,100,100,80.73,86,86.17,22.17,23,19,88.61,200,89.07,137.5,94.6,63.33,63.33,63.33,63.33,88.55,88.55,88.55,88.55,80.73,80.73,80.73,80.73,86,86,86,86,86.17,86.17,86.17,86.17,88.67,88.67,88.67,88.67,92,92,92,92,76,76,76,76,88.61,88.61,88.61,88.61,200,200,200,200,89.07,89.07,89.07,89.07,137.5,137.5,137.5,137.5,94.6,94.6,94.6,94.6,89.22,89.22,89.22,89.22
122,121,75.56,77.78,6.67,0.5,0,1,0,1,2.5,0,0,0,0,0,0,0,10,,23.8,79.17,0,0,75.1,81.27,10,75,100,50,75,100,90.77,91.27,89.17,24.17,26,26.8,99.7,62.5,98.08,87.5,78.2,45.83,45.83,45.83,45.83,79.77,79.77,79.77,79.77,90.77,90.77,90.77,90.77,91.27,91.27,91.27,91.27,89.17,89.17,89.17,89.17,96.68,96.68,96.68,96.68,104,104,104,104,107.2,107.2,107.2,107.2,99.7,99.7,99.7,99.7,62.5,62.5,62.5,62.5,98.08,98.08,98.08,98.08,87.5,87.5,87.5,87.5,78.2,78.2,78.2,78.2,91.95,91.95,91.95,91.95
